Close,High,Low,Open,dt
218.37,218.87,217.7,218.39,9/2/2016
219.07,219.09,217.86,218.7,9/6/2016
219.06,219.22,218.3,218.84,9/7/2016
218.53,218.94,218.15,218.62,9/8/2016
213.28,217.03,213.25,216.97,9/9/2016
216.34,216.81,212.31,212.39,9/12/2016
213.23,215.1499,212.5,214.84,9/13/2016
213.14,214.7,212.5,213.29,9/14/2016
215.29,215.73,212.75,212.96,9/15/2016
213.34,213.69,212.57,213.48,9/16/2016
213.39,214.88,213.03,214.13,9/19/2016
213.43,214.59,213.38,214.41,9/20/2016
215.79,216.03,213.44,214.24,9/21/2016
217.16,217.53,216.71,217,9/22/2016
215.98,216.88,215.88,216.72,9/23/2016
214.21,215.23,214.01,215.02,9/26/2016
215.55,215.68,213.62,214.05,9/27/2016
216.68,216.82,214.71,215.83,9/28/2016
214.6863,216.87,214.04,216.4,9/29/2016
216.36,217.12,215.36,215.65,9/30/2016
215.69,216.04,215.04,215.82,10/3/2016
214.72,216.17,213.99,215.91,10/4/2016
215.66,216.13,215.33,215.41,10/5/2016
215.83,216.04,214.735,215.37,10/6/2016
215.05,216.3,214.19,216.1,10/7/2016
216.11,216.7,215.985,216.155,10/10/2016
213.45,215.74,212.58,215.66,10/11/2016
213.72,214.32,213.01,213.59,10/12/2016
213.04,213.59,211.21,212.16,10/13/2016
213.09,214.69,213.03,214.15,10/14/2016
212.4,213.39,212.17,213.09,10/17/2016
213.69,214.31,213.27,214.24,10/18/2016
214.25,214.64,213.6,214.02,10/19/2016
213.89,214.53,213.11,213.87,10/20/2016
213.935,214.08,212.76,212.96,10/21/2016
214.85,215.32,214.48,215,10/24/2016
214.18,214.98,213.98,214.68,10/25/2016
213.74,214.42,212.93,213.21,10/26/2016
213.18,214.62,213.08,214.58,10/27/2016
212.52,213.93,211.71,213.14,10/28/2016
212.51,213.19,212.36,212.93,10/31/2016
211,212.99,209.6,212.93,11/1/2016
209.7,211.1,209.23,210.65,11/2/2016
208.84,210.24,208.46,209.99,11/3/2016
208.52,209.89,208.38,208.91,11/4/2016
213.1,213.19,211.3,211.45,11/7/2016
214.07,214.77,212.38,212.69,11/8/2016
216.41,217.1,212.34,212.37,11/9/2016
216.87,218.31,215.22,217.3,11/10/2016
216.46,216.7,215.32,216.08,11/11/2016
216.55,217.27,215.72,217.03,11/14/2016
218.25,218.28,216.8,217.04,11/15/2016
217.93,218.14,217.42,217.56,11/16/2016
218.95,219.06,217.92,218.05,11/17/2016
218.52,219.27,218.29,219.07,11/18/2016
220.11,220.18,219,219.17,11/21/2016
220.53,220.79,219.73,220.51,11/22/2016
220.73,220.76,219.75,219.98,11/23/2016
221.52,221.56,221.01,221.1,11/25/2016
220.54,221.48,220.36,221.16,11/28/2016
220.89,221.44,220.17,220.52,11/29/2016
220.33,221.82,220.31,221.63,11/30/2016
219.52,220.73,219.15,220.73,12/1/2016
219.66,220.25,219.26,219.67,12/2/2016
220.92,221.4,220.42,220.65,12/5/2016
221.69,221.7441,220.662,221.22,12/6/2016
224.57,224.67,221.38,221.52,12/7/2016
225.14,225.7,224.26,224.57,12/8/2016
226.49,226.5,225.37,225.41,12/9/2016
226.22,226.96,225.76,226.4,12/12/2016
227.71,228.34,227,227.02,12/13/2016
225.92,228.23,225.365,227.41,12/14/2016
226.77,227.81,226.01,226.16,12/15/2016
225.07,226.08,224.67,226.01,12/16/2016
225.49,226.02,225.08,225.25,12/19/2016
226.37,226.57,225.88,226.15,12/20/2016
225.81,226.45,225.77,226.25,12/21/2016
225.43,225.74,224.92,225.6,12/22/2016
225.69,225.72,225.21,225.43,12/23/2016
226.24,226.73,226.01,226.02,12/27/2016
